PMID	Year	Title
39574837	2024	Promoting Awareness of Data Confidentiality and Security During the COVID-19 Pandemic in a Low-Income Country-Sierra Leone.
39574217	2024	Ultrasensitive Chemiluminescence Probes Designed from Covalent Inhibitors for SRAS-CoV-2 M
39572348	2024	[Long-/Post-COVID symptoms in a hotspot collective of the first wave of the SARS-CoV-2 pandemic in Germany].
39571342	2024	Beetroot juice intake positively influenced gut microbiota and inflammation but failed to improve functional outcomes in adults with long COVID: A pilot randomized controlled trial.
39569188	2024	Clinical characteristics and antibody response to Omicron variants among solid carcinoma patients in China on the 2022.12-2023.4 wave of the COVID-19 pandemic.
39569098	2024	Validation and efficacy of a tele-yoga intervention for improving psychological stress, mental health and sleep difficulties of stressed adults diagnosed with long COVID: a prospective, multi-center, open-label single-arm study.
39568467	2024	A latent transfer learning method for estimating hospital-specific post-acute healthcare demands following SARS-CoV-2 infection.
39562810	2024	Altered leukocyte pattern and inflammatory markers in unvaccinated long covid patients: a cross-sectional study.
39560821	2024	Hypopituitarism and COVID-19.
39560319	2024	Therapeutic BCG vaccine protects against long COVID: The BATTLE randomized clinical trial.
39559920	2024	Intermittent Hypoxic-Hyperoxic Training During Inpatient Rehabilitation Improves Exercise Capacity and Functional Outcome in Patients With Long Covid: Results of a Controlled Clinical Pilot Trial.
39559556	2024	A Narrative Review of Impact of Incentive Spirometer Respiratory Training in Long COVID.
39558820	2024	Extracellular vesicles containing SARS-CoV-2 proteins are associated with multi-organ dysfunction and worse outcomes in patients with severe COVID-19.
39558292	2024	Protective role of vaccination on the development of long COVID: data from a large, multicenter, prospective cohort study.
39558250	2024	Cognitive impact and brain structural changes in long COVID patients: a cross-sectional MRI study two years post infection in a cohort from Argentina.
39557995	2024	The utility of personal wearable data in long COVID and personalized patient care.
39556251	2024	Deriving and validating a risk prediction model for long COVID: a population-based, retrospective cohort study in Scotland.
39554298	2024	Evaluation of diseases complicating long COVID: A retrospective chart review.
39553000	2024	Zinc Deficiency and Post-acute Outcomes in Patients With COVID-19: A Six-Month Retrospective Cohort Analysis of 3,726 Patients.
39552393	2024	The effect of polygenic liability to mental disorders on COVID-19 outcomes in people with depression: the mediating role of anxiety.
39551951	2024	Dysrupted microbial tryptophan metabolism associates with SARS-CoV-2 acute inflammatory responses and long COVID.
39551591	2024	Post-COVID in healthcare workers and its consequences on quality of life, activities, participation, need for rehabilitation and care experiences: protocol of a cohort study.
39551439	2024	COVID-19 in children: Evolving epidemiology, immunology, symptoms, diagnostics, treatment, post covid conditions, prevention strategies, and future directions.
39550783	2024	The impact of gut microbiome and diet on post-acute sequelae of SARS-CoV-2 infection.
39550693	2024	Compromised CD8+ T cell immunity in the aged brain increases severity of neurotropic coronavirus infection and postinfectious cognitive impairment.
39550105	2025	Long COVID for the Rheumatologist: Current Understanding and Approach to Management.
39549937	2024	Manual dexterity, tactile perception and inflammatory profile in HCWs affected by long Covid: A case - control study.
39549783	2024	Post-acute sequalae of COVID-19 three to twelve months after infection: Delta versus Omicron.
39547729	2025	Clinical Comparison of Post-intensive Care Syndrome and Long Coronavirus Disease.
39545965	2024	Is there a rationale for hyperbaric oxygen therapy in the patients with Post COVID syndrome? : A critical review.
39544193	2024	The metabolic and physiologic impairments underlying long COVID associated exercise intolerance.
39543596	2024	Symptom profile, case and symptom clustering, clinical and demographic characteristics of a multicentre cohort of 1297 patients evaluated for Long-COVID.
39542232	2024	In vivo characterization of ACE2 expression in Sprague-Dawley rats and cultured primary brain pericytes highlights the utility of Rattus norvegicus in the study of COVID-19 brain pathophysiology.
39540209	2024	Substantial reduction in the clinical and economic burden of disease following variant-adapted mRNA COVID-19 vaccines in immunocompromised patients in France.
39537445	2024	Blood virome research in myalgic encephalomyelitis/chronic fatigue syndrome: challenges and opportunities.
39537389	2024	Trajectories of functional limitations, health-related quality of life and societal costs in individuals with long COVID: a population-based longitudinal cohort study.
39536394	2024	Transformer-based deep learning model for the diagnosis of suspected lung cancer in primary care based on electronic health record data.
39536123	2024	Initiating Long Covid RECOVERy.
39536122	2024	Consequences beyond acute SARS-CoV-2 infection in children.
39536121	2024	Infection-associated chronic conditions: Why Long Covid is our best chance to untangle Osler's web.
39536120	2024	Sex differences in postacute infection syndromes.
39536118	2024	Animal models of Long Covid: A hit-and-run disease.
39536117	2024	Sex differences and immune correlates of Long Covid development, symptom persistence, and resolution.
39536116	2024	Translating insights into therapies for Long Covid.
39534773	2024	A worldwide look into long COVID-19 management: an END-COVID survey.
39534771	2024	A worldwide perspective of long COVID management: how can we END-COVID?
39529893	2024	An Adaptive Pacing Intervention for Adults Living With Long COVID: A Narrative Study of Patient Experiences of Using the PaceMe app.
39526116	2024	Clinical rationale for dietary lutein supplementation in long COVID and mRNA vaccine injury syndromes.
39524912	2024	Overlapping conditions in Long COVID at a multisite academic center.
39524607	2024	Tree-based classification model for Long-COVID infection prediction with age stratification using data from the National COVID Cohort Collaborative.
39524261	2024	Transient Osteoporosis of Hip as a Part of "Long COVID-19": A Case Series.
39532773	2024	Burden of post-acute COVID-19 sequelae in healthcare workers and its course over a 30-month period-results from a prospective multicentre cohort.
39531278	2024	Evaluating Repetitive Transcranial Magnetic Stimulation for Neuropsychiatric Symptoms in Long COVID: A Case Series.
39529266	2024	Through Their Eyes: Using Photovoice to Capture the Capacity-Building Journey of Long Covid Patient Experts.
39527314	2024	Identifying influencing factors and constructing a prediction model for long COVID-19 in hemodialysis patients.
39522688	2024	Brain-targeted autoimmunity is strongly associated with Long COVID and its chronic fatigue syndrome as well as its affective symptoms.
39521013	2024	Learning from long COVID: conceptualising action to tackle infection-associated non-communicable diseases.
39520983	2024	Precision phenotyping for curating research cohorts of patients with unexplained post-acute sequelae of COVID-19.
39520297	2024	Secondary organising pneumonia associated to COVID-19 infection in patients with central nervous system inflammatory demyelinating diseases treated with anti-CD20 therapies.
39518964	2024	Cytokine Storm in COVID-19: Exploring IL-6 Signaling and Cytokine-Microbiome Interactions as Emerging Therapeutic Approaches.
39518632	2024	Impact of COVID-19 on Diaphragmatic Function: Understanding Multiorgan Involvement and Long-Term Consequences.
39518437	2024	Comparison of Metabolic Syndrome, Autoimmune and Viral Distinctive Inflammatory Related Conditions as Affected by Body Mass Index.
39516956	2024	Long-term health outcomes of COVID-19 in ICU- and non-ICU-treated patients up to 2&#xa0;years after hospitalization: a longitudinal cohort study (CO-FLOW).
39516880	2024	Implementation of patient and public involvement and engagement (PPIE) for the therapies for long COVID in non-hospitalised individuals (TLC) project.
39516528	2024	Transcutaneous electrical nerve stimulation for fibromyalgia-like syndrome in patients with Long-COVID: a pilot randomized clinical trial.
39516425	2024	Neurological, psychological, psychosocial complications of long-COVID and their management.
39515869	2024	Protocol for an ambidirectional cohort study on long COVID and the healthcare needs, use and barriers to access health services in a large city in Southeast Brazil.
39512484	2024	CHARACTERIZATION OF BASELINE SYMPTOMS AND FUNCTIONAL IMPAIRMENTS IN A LARGE COHORT OF OUTPATIENTS ATTENDING A LONG COVID REHABILITATION CLINIC IN THE UNITED KINGDOM.
39511637	2024	Predicting post-COVID-19 condition in children and young people up to 24&#xa0;months after a positive SARS-CoV-2 PCR-test: the CLoCk study.
39511549	2024	"A bit of a cough, tired, not very resilient - is that already Long-COVID?" perceptions and experiences of GPs with Long-COVID in year three of the pandemic. a qualitative interview study in Austria.
39511082	2024	[Not Available].
39510798	2024	SARS-CoV-2 and HSV-1 Induce Amyloid Aggregation in Human CSF Resulting in Drastic Soluble Protein Depletion.
39510792	2024	Experiences of physiotherapists working with adults living with Long COVID in Canada: a qualitative study.
39510073	2024	Enhanced pollen tube performance at high temperature contributes to thermotolerant fruit and seed production in tomato.
39508631	2024	An Overview of Pediatric Pulmonary Complications During COVID-19 Pandemic: A Lesson for Future.
39507661	2024	Editorial: On the cusp of the silent wave of the long COVID pandemic: why, what and how should we tackle this emerging syndrome in the clinic and population?
39507365	2024	Clinical and functional assessment of SARS-CoV-2 sequelae among young marines - a panel study.
39507087	2024	Associations between physical activity, long COVID symptom intensity, and perceived health among individuals with long COVID.
39506902	2024	Cardiovascular sequelae in symptomatic SARS-CoV-2 infection survivors.
39504683	2024	Effect of COVID-19 vaccination on the risk of developing post-COVID conditions: The VENUS study.
39500939	2024	Stroop task and practice effects demonstrate cognitive dysfunction in long COVID and myalgic encephalomyelitis / chronic fatigue syndrome.
39500905	2024	Pulmonary diffusing capacity among individuals recovering from mild to moderate COVID-19: a cross-sectional study.
39500417	2024	Acute and long-term effects of COVID-19 on brain and mental health: A narrative review.
39499751	2024	Nasal irrigation for the prevention and treatment of upper respiratory tract infection by SARS-CoV-2: a narrative review.
39499692	2024	Oxygen supplementation and cognitive function in long-COVID.
39498382	2024	Clinical features and predictive nomogram for fatigue sequelae in non-severe patients infected with SARS-CoV-2 Omicron variant in Shanghai, China.
39497750	2024	The clinical course of SARS-CoV-2 infection in patients with glomerular diseases and evaluation of the subsequent risk of relapse.
39497519	2024	COVID-19 vaccination modified the effect of nirmatrelvir-ritonavir on post-acute mortality and rehospitalization: a retrospective cohort study.
39497076	2024	Long COVID and recovery from Long COVID: quality of life impairments and subjective cognitive decline at a median of 2&#xa0;years after initial infection.
39497009	2024	The COVID-19 legacy: consequences for the human DNA methylome and therapeutic perspectives.
39496842	2024	Presence of COVID-19 self-reported symptoms at 12 months in patients discharged from hospital in 2020-2021: a Spanish cross-sectional study.
39496183	2024	Patients surviving COVID-19 had lower risk for long COVID in the Omicron vs. earlier eras.
39495479	2024	Novel biomarkers of mitochondrial dysfunction in Long COVID patients.
39493634	2024	Enhancing exercise intervention for patients with post-acute COVID-19 syndrome using mobile health technology: The COVIDReApp randomised controlled trial protocol.
39493249	2024	Physical and cognitive stressors exacerbate symptoms in long COVID: more evidence triggering new research and therapeutic needs.
39493003	2024	Distinguishing pain profiles among individuals with long COVID.
39491570	2024	Monitoring of lung stiffness for long-COVID patients using magnetic resonance elastography (MRE).
39490617	2024	Two-day cardiopulmonary exercise testing in long COVID post-exertional malaise diagnosis.
39490027	2024	Prevalence and measurement of post-exertional malaise in post-acute COVID-19 syndrome: A systematic review and meta-analysis.
39489523	2024	Persistent symptoms after COVID-19: an Australian stratified random health survey on long COVID.
39489522	2024	Long COVID in Victoria.
39489520	2024	Factors associated with general practitioner-led diagnosis of long COVID: an observational study using electronic general practice data from Victoria and New South Wales, Australia.
39489519	2024	The economic burden of long COVID in Australia: more noise than signal?
39489518	2024	Beyond acute infection: mechanisms underlying post-acute sequelae of COVID-19 (PASC).
39489515	2024	Living with long COVID and its impact on family and society: a couple's view.
39489514	2024	An allied health model of care for long COVID rehabilitation.
39489282	2024	Autoantibodies directed against interferon alpha, nuclear antigens, cardiolipin, and beta 2 glycoprotein 1 are not induced by SARS-CoV-2 or associated with long COVID.
39483438	2024	Predictors of ongoing attendance at an Australian publicly funded specialist obesity service.
39482691	2024	Cost-effectiveness of an online supervised group physical and mental health rehabilitation programme for adults with post-COVID-19 condition after hospitalisation for COVID-19: the REGAIN RCT.
39488359	2024	Post-pandemic, long COVID persists.
39488240	2024	Impact of combined plant extracts on long COVID: An exploratory randomized controlled trial.
39485894	2024	Impact of COVID-19 on Exercise-Based Pulmonary Rehabilitation: What Lessons Have We Learned?
39485635	2024	Factors associated with the development, severity, and resolution of post COVID-19 condition in adults living in Canada, January 2020 to August 2022.
39482903	2024	Prevention is better than cure: immunocompromised people need COVID-19 prevention therapies now.
39482218	2025	Long Coronavirus Disease and the Brain: Molecular Neuroimaging Insights into Neurologic and Psychiatric Sequelae.
39479770	2024	The potential clinical impact and cost-effectiveness of the updated COVID-19 mRNA Autumn 2024 vaccines in the United Kingdom.
39479090	2024	Complications of Long COVID: Unraveling a Case of Very-Late-Onset Myasthenia Gravis.
39478809	2024	Cluster analysis identifies long COVID subtypes in Belgian patients.
39478711	2024	Prevalence and Predictors of Fatigue among Thai Women after COVID-19 Infection.
39477428	2024	Long-term Impacts of Long COVID: Increased Incidence of Cardiomyopathies, Joint Diseases, and Psychoanxiety Disorders.
39475394	2024	Health care for patients with long COVID: a scoping review.
39474404	2024	Long COVID and gut candidiasis: What is the existing relationship?
39474148	2024	3D Holo-tomographic Mapping of COVID-19 Microclots in Blood to Assess Disease Severity.
39473828	2024	Establishing data elements and exchange standards to support long COVID healthcare and research.
39472619	2024	Nirmatrelvir plus ritonavir reduces COVID-19 hospitalization and prevents long COVID in adult outpatients.
39472233	2024	Patient-provider relationships and long COVID: A cross-sectional survey about impact on quality of life.
39471195	2024	Evaluating the Predictors of Persistent Long COVID Symptoms and Their Severity in COVID-19 Survivors 1 Year After Infection.
39469684	2024	Cognitive outcomes and psychological symptoms in an Italian cohort with post-acute COVID-19 condition (PACC).
39469144	2024	Accumulated subcutaneous fat in abdomen is associated with long COVID-19 symptoms among non-hospitalized patients: a prospective observational study.
39468707	2024	The characteristics of TCR CDR3 repertoire in COVID-19 patients and SARS-CoV-2 vaccine recipients.
39468090	2024	Effect of the COVID-19 pandemic on the well-being of middle-aged and older Europeans.
39465803	2024	Is detrusor underactivity the urodynamic characteristic of long-COVID in patients with benign prostate hyperplasia?
39464351	2024	Persistent ENT Manifestations in Individuals who Recovered from COVID-19: A Systematic Review.
39459851	2024	Gastrointestinal Sequelae of COVID-19: Investigating Post-Infection Complications-A Systematic Review.
39459041	2024	Inhibitory Effect of Luteolin on Spike S1 Glycoprotein-Induced Inflammation in THP-1 Cells via the ER Stress-Inducing Calcium/CHOP/MAPK Pathway.
39458187	2024	Effectiveness of Combined Pulmonary Rehabilitation and Progressive Muscle Relaxation in Treating Long-Term COVID-19 Symptoms: A Randomized Controlled Trial.
39457567	2024	Slow-Paced Breathing Intervention in Healthcare Workers Affected by Long COVID: Effects on Systemic and Dysfunctional Breathing Symptoms, Manual Dexterity and HRV.
39457358	2024	Online and Face-to-Face Mat Pilates Training for Long COVID-19 Patients: A Randomized Controlled Trial on Health Outcomes.
39457356	2024	Musculoskeletal, Pulmonary, and Cardiovascular COVID-19 Sequelae in the Context of Firefighter Occupational Health: A Narrative Review.
39457266	2024	Sex-Based Differences in Pulmonary Function and Cardiopulmonary Response 30 Months Post-COVID-19: A Brazilian Multicentric Study.
39456822	2024	Anti-Inflammatory and Neuroprotective Polyphenols Derived from the European Olive Tree, 
39456253	2024	The Ambivalence of Post COVID-19 Vaccination Responses in Humans.
39455598	2024	Living with COPD and its psychological effects on participating in community-based physical activity in Brazil: a qualitative study. Findings from the Breathe Well group.
39455248	2024	Supporting Evidence For Pulmonary Rehabilitation in the Treatment of Long COVID.
39454992	2024	Gastrointestinal pathophysiology in long COVID: Exploring roles of microbiota dysbiosis and serotonin dysregulation in post-infectious bowel symptoms.
39454250	2024	Dissecting the association between long COVID and depressive symptoms in a nationally representative population from France.
39451987	2024	Reactive Astrocytosis-A Potential Contributor to Increased Suicide in Long COVID-19 Patients?
39451477	2024	Prevalence, Risk Factors, and Impact of Long COVID Among Adults in South Korea.
39450880	2024	Functional disabilities and adverse well-being by COVID-19 and Long COVID history and employment status: 2022 Behavioral Risk Factor Surveillance System.
39450181	2024	High prevalence of long COVID in anti-TPO positive euthyroid individuals with strongly elevated SARS-CoV-2-specific T cell responses and moderately raised anti-spike IgG levels 23 months post-infection.
39449339	2024	Potential Mechanisms of Covid-19 Related Nervous System Damage and Effects on Female Fertility.
39449018	2024	National school food standards in England: a cross-sectional study to explore compliance in secondary schools and impact on pupil nutritional intake.
39447830	2024	Antibody-dependent complement-mediated sperm cytotoxicity in the endocervix is a dominant contraceptive mechanism of ZB-06 vaginal film.
39446250	2024	A systematic analysis of neurologic manifestations of Long COVID in Nigeria.
39446164	2024	Pentoxifylline in COVID-19 and considerations for its research in long COVID.
39445819	2024	Psychosocial Aspects of the Lived Experience of Long COVID: A Systematic Review and Thematic Synthesis of Qualitative Studies.
39445814	2024	Four Years in, What Are the Research Priorities for Long COVID? A Research Priority-Setting Partnership Between People With Lived Experience, Carers, Clinicians and Researchers.
39444797	2024	Understanding autoimmune response after SARS-CoV-2 infection and the pathogenesis/mechanisms of long COVID.
39444752	2024	Advances in VNS efficiency and mechanisms of action on cognitive functions.
39444602	2024	Emerging small-molecule antiviral agents in long COVID prevention.
39443935	2024	Barriers and facilitators of healthcare access for long COVID-19 patients in a universal healthcare system: qualitative evidence from Austria.
39441526	2024	Sleep disturbances are associated with multiple definitions of long COVID.
39438966	2024	Aberrations in medically certified sick leave and primary healthcare consultations in Norway in 2023 compared to pre-COVID-19-pandemic trends.
39438926	2024	Circadian re-set repairs long-COVID&#xa0;in a prodromal Parkinson's parallel: a case series.
39438198	2024	Assessment of the therapeutic potential of salubrinal for ME/CFS and long-COVID.
39438144	2024	Long COVID or Post-Acute Sequelae of COVID-19 (PASC) in Children and Adolescents.
39436613	2024	Associations between symptom-based long COVID clusters and long-term quality of life, work and daily activities among individuals testing positive for SARS-CoV-2 at a national retail pharmacy.
39436440	2024	A&#xa0;short story of long COVID.
39436395	2024	Prevalence and associations of insomnia after COVID-19 infection.
39435694	2024	Epigenetic changes in patients with post-acute COVID-19 symptoms (PACS) and long-COVID: A systematic review.
39435656	2024	Immune exhaustion in ME/CFS and long COVID.
39435149	2024	TLR2/NF-&#x3ba;B signaling in macrophage/microglia mediated COVID-pain induced by SARS-CoV-2 envelope protein.
39434957	2024	Fibrinaloid microclots in long COVID: assessing the actual evidence properly.
39434919	2024	Generative AI-based knowledge graphs for the illustration and development of mHealth self-management content.
39434281	2024	Factors affecting symptom duration and recovery among home-treated COVID- 19 patients in Baghdad-Iraq: a cross-sectional study.
39434179	2024	Telehealth-delivered cognitive rehabilitation for people with cognitive impairment as part of the post-COVID syndrome: protocol for a randomised controlled trial as part of the CICERO (Cognitive Impairment in Long COVID: Phenotyping and Rehabilitation) study.
39433997	2024	Caring for Long Covid patients in primary healthcare: a cross-sectional study on general practitioners' knowledge, perception and experience in Belgium and Malta.
39433942	2024	Finding Long-COVID: temporal topic modeling of electronic health records from the N3C and RECOVER programs.
39433402	2024	Long Covid: a global health issue - a prospective, cohort study set in four continents.
39430651	2024	Preprint pointers from a long COVID scoping review: considerations for source selection and searching.
39430594	2024	Understanding long COVID: prevalence, characteristics, and risk factors in the Eastern Province of Saudi Arabia.
39429966	2024	COVID-19 and multiple sclerosis: challenges and lessons for patient care.
39429741	2024	COVID-19 and persistent symptoms: implications for polycystic ovary syndrome and its management.
39429336	2024	COVID-19 Infection and Vaccination Effects on Breast Implant Illness: A Case Report.
39429158	2024	Cohort Profile: Post-Hospitalisation COVID-19 (PHOSP-COVID) study.
39428555	2024	Is There such a Thing as Post-Viral Depression?: Implications for Precision Medicine.
39426876	2024	[Mechanisms of prolonged symptoms following acute COVID-19: Some pathophysiological pathways].
39426837	2024	Respiratory syncytial virus (RSV) vaccine effectiveness against RSV-associated hospitalisations and emergency department encounters among adults aged 60 years and older in the USA, October, 2023, to March, 2024: a test-negative design analysis.
39425101	2024	Correction: Long COVID is not the same for everyone: a hierarchical cluster analysis of long COVID symptoms 9 and 12 months after SARS-CoV-2 test.
39425012	2024	The home-based breathing and chest mobility exercise improves cardiorespiratory functional capacity in long COVID with cardiovascular comorbidities: a randomized study.
39424264	2024	The tryptophan catabolite or kynurenine pathway in long COVID disease: A systematic review and meta-analysis.
39423876	2024	Trends of common laboratory biomarkers after SARS-CoV-2 infection.
39423759	2024	Analysis of fat oxidation capacity during cardiopulmonary exercise testing indicates long-lasting metabolic disturbance in patients with post-covid-19 syndrome.
39423742	2024	A nomogram to predict long COVID risk based on pre- and post-infection factors: Results from a cross-sectional study in South China.
39422912	2024	Time to Sustained Recovery Among Outpatients With COVID-19 Receiving Montelukast vs Placebo: The ACTIV-6 Randomized Clinical Trial.
39421860	2024	Long-term COVID-19 sequelae by Theta and SARS-CoV-2 variants in a Philippine cohort.
39420307	2024	Prevalence and exploratory factor analysis of long COVID-19 symptoms among experienced infected population in Bangkok, Thailand.
39419616	2024	Mapping the landscape of mental health and long COVID: a protocol for scoping review.
39419470	2024	HERV-W ENV transcription in B cells predicting symptomatic COVID-19 and risk for long COVID can express a full-length protein despite stop codon in mRNA from chromosome X via a ribosome readthrough.
39419167	2024	Temporal trajectories of long-COVID symptoms in adults with 22 months follow-up in a prospective cohort study in Norway.
39418956	2024	Sex, vaccination status, and comorbidities influence long COVID persistence.
39418782	2024	Effect of Long COVID on Work Performance and Annual Monetary Loss among Infected Healthcare Workers at a Tertiary Hospital in Malaysia.
39418080	2024	Impact of Concurrent Media Exposure on Professional Identity: Cross-Sectional Study of 1087 Medical Students During Long COVID.
39417730	2024	The negative effects of long COVID-19 on cardiovascular health and implications for the presurgical examination.
39417642	2024	Interactions between sleep, inflammation, immunity and infections: A narrative review.
